collection,title,year,doi,url,tags,source
05_Multimodal_AI,Leveraging AI-based digital systems in psychological interventions: a research opinion,2025,10.3389/fdgth.2025.1693504,https://doi.org/10.3389/fdgth.2025.1693504,ASD; behavior; clinical-validation; decision-support; ethics; include; language; machine-learning; multimodal; privacy; video,Paper scout report
01_Speech_Audio,Classifying Autism From Crowdsourced Semistructured Speech Recordings: Machine Learning Model Comparison Study,2022,10.2196/35406,https://doi.org/10.2196/35406,ASD; audio; behavior; clinical-validation; decision-support; include; language; machine-learning; speech; video,Paper scout report
05_Multimodal_AI,Envisioning the Future of Machine Learning in the Early Detection of Neurodevelopmental and Neurodegenerative Disorders via Speech and Language Biomarkers,2025,10.3390/acoustics7040072,https://doi.org/10.3390/acoustics7040072,ASD; audio; clinical-validation; decision-support; ethics; include; language; machine-learning; multimodal; speech,Paper scout report
01_Speech_Audio,From Data to Diagnosis: AI’s Role in Transforming Neurodevelopmental Healthcare,2024,10.53555/ajbr.v27i6s.7886,https://doi.org/10.53555/ajbr.v27i6s.7886,ASD; behavior; clinical-validation; decision-support; ethics; include; language; machine-learning; privacy; speech,Paper scout report
05_Multimodal_AI,Unified interpretable AI for autism diagnosis and scalable severity-aware personalized adaptive e-learning,2026,10.1007/s42452-026-08335-4,https://doi.org/10.1007/s42452-026-08335-4,ASD; behavior; clinical-validation; decision-support; ethics; include; language; machine-learning; multimodal; questionnaire,Paper scout report
01_Speech_Audio,Wearable-Sensors-Based Platform for Gesture Recognition of Autism Spectrum Disorder Children Using Machine Learning Algorithms,2021,10.3390/s21103319,https://doi.org/10.3390/s21103319,ASD; behavior; clinical-validation; decision-support; include; language; machine-learning; speech; video,Paper scout report
07_Review_Papers,Implementation of generative AI for the assessment and treatment of autism spectrum disorders: a scoping review,2025,10.3389/fpsyt.2025.1628216,https://doi.org/10.3389/fpsyt.2025.1628216,ASD; behavior; clinical-validation; decision-support; ethics; include; language; machine-learning; multimodal,Paper scout report
05_Multimodal_AI,Explainable and secure framework for autism prediction using multimodal eye tracking and kinematic data,2025,10.1007/s40747-025-01790-3,https://doi.org/10.1007/s40747-025-01790-3,ASD; behavior; decision-support; ethics; include; language; machine-learning; multimodal; privacy,Paper scout report
05_Multimodal_AI,Editorial: Emerging artificial intelligence technologies for neurological and neuropsychiatric research,2024,10.3389/fnins.2024.1518442,https://doi.org/10.3389/fnins.2024.1518442,ASD; behavior; clinical-validation; decision-support; ethics; include; machine-learning; multimodal; video,Paper scout report
03_Video_Behavior,Enhancing the Diagnosis of Early Autism Spectrum Disorder: A Comparative Study of Explainable Machine Learning Models and Feature Importance Analysis,2025,10.57197/jdr-2025-0662,https://doi.org/10.57197/jdr-2025-0662,ASD; behavior; clinical-validation; decision-support; ethics; include; machine-learning; questionnaire; video,Paper scout report
07_Review_Papers,Artificial intelligence in positive mental health: a narrative review,2024,10.3389/fdgth.2024.1280235,https://doi.org/10.3389/fdgth.2024.1280235,ASD; behavior; decision-support; ethics; include; language; machine-learning; video,Paper scout report
03_Video_Behavior,Machine learning classification of autism spectrum disorder based on reciprocity in naturalistic social interactions,2024,10.1038/s41398-024-02802-5,https://doi.org/10.1038/s41398-024-02802-5,ASD; behavior; clinical-validation; decision-support; include; language; machine-learning; video,Paper scout report
03_Video_Behavior,Prediction of autistic tendencies at 18 months of age via markerless video analysis of spontaneous body movements in 4-month-old infants,2022,10.1038/s41598-022-21308-y,https://doi.org/10.1038/s41598-022-21308-y,ASD; behavior; clinical-validation; decision-support; include; machine-learning; questionnaire; video,Paper scout report
01_Speech_Audio,Employing Classification Techniques on SmartSpeech Biometric Data towards Identification of Neurodevelopmental Disorders,2023,10.3390/signals4020021,https://doi.org/10.3390/signals4020021,ASD; clinical-validation; decision-support; include; language; machine-learning; speech; video,Paper scout report
05_Multimodal_AI,Multi-modal data analysis for autism spectrum disorder in children: State of the art and trends,2025,10.1016/j.engmed.2025.100117,https://doi.org/10.1016/j.engmed.2025.100117,ASD; behavior; decision-support; ethics; include; machine-learning; multimodal; questionnaire,Paper scout report
03_Video_Behavior,Autism Spectrum Disorder Screening on HomeVideos Using Deep Learning,2024,10.5815/ijigsp.2024.04.08,http://dx.doi.org/10.5815/ijigsp.2024.04.08,ASD; behavior; decision-support; include; language; machine-learning; questionnaire; video,Paper scout report
03_Video_Behavior,Introducing SSBD+ Dataset with a Convolutional Pipeline for Detecting Self-Stimulatory Behaviours in Children Using Raw Videos,2023,10.1109/healthcom56612.2023.10472349,https://doi.org/10.1109/healthcom56612.2023.10472349,ASD; behavior; clinical-validation; decision-support; include; machine-learning; questionnaire; video,Paper scout report
03_Video_Behavior,Autism Spectrum Disorder of Computational Prediction using Machine Learning,2025,10.1109/icscn67106.2025.11308691,https://doi.org/10.1109/icscn67106.2025.11308691,ASD; behavior; clinical-validation; decision-support; include; language; machine-learning; questionnaire,Paper scout report
03_Video_Behavior,Developing a New Autism Diagnosis Process Based on a Hybrid Deep Learning Architecture Through Analyzing Home Videos,2021,10.48550/arxiv.2104.01137,http://arxiv.org/abs/2104.01137,ASD; behavior; clinical-validation; decision-support; include; language; machine-learning; video,Paper scout report
07_Review_Papers,A Review of Machine Learning Methods of Feature Selection and Classification for Autism Spectrum Disorder,2020,10.3390/brainsci10120949,https://doi.org/10.3390/brainsci10120949,ASD; behavior; decision-support; include; language; machine-learning; speech,Paper scout report
07_Review_Papers,Early Diagnosis of Autism Spectrum Disorder: A Review and Analysis of the Risks and Benefits,2023,10.7759/cureus.43226,https://doi.org/10.7759/cureus.43226,ASD; behavior; decision-support; include; language; machine-learning; questionnaire,Paper scout report
03_Video_Behavior,Autism spectrum Disorder detection Using Face Features based on Deep Neural network,2023,10.31185/wjcm.100,https://doi.org/10.31185/wjcm.100,ASD; behavior; clinical-validation; decision-support; include; machine-learning; video,Paper scout report
03_Video_Behavior,Is Smiling the Key? Machine Learning Analytics Detect Subtle Patterns in Micro-Expressions of Infants with ASD,2021,10.3390/jcm10081776,https://doi.org/10.3390/jcm10081776,ASD; behavior; clinical-validation; decision-support; include; machine-learning; video,Paper scout report
03_Video_Behavior,Application of the Still-Face Paradigm in Early Screening for High-Risk Autism Spectrum Disorder in Infants and Toddlers,2020,10.3389/fped.2020.00290,https://doi.org/10.3389/fped.2020.00290,ASD; behavior; clinical-validation; decision-support; include; machine-learning; video,Paper scout report
03_Video_Behavior,Effectiveness of Artificial Intelligence–Based Platform in Administering Therapies for Children With Autism Spectrum Disorder: 12-Month Observational Study,2025,10.2196/70589,https://doi.org/10.2196/70589,ASD; behavior; clinical-validation; decision-support; include; language; machine-learning,Paper scout report
03_Video_Behavior,Automated AI based identification of autism spectrum disorder from home videos,2025,10.1038/s41746-025-01993-5,https://doi.org/10.1038/s41746-025-01993-5,ASD; behavior; clinical-validation; decision-support; include; machine-learning; video,Paper scout report
03_Video_Behavior,Video Based Computational Coding of Movement Anomalies in ASD Children,2024,10.1109/cvprw63382.2024.00045,https://doi.org/10.1109/cvprw63382.2024.00045,ASD; behavior; clinical-validation; decision-support; include; machine-learning; video,Paper scout report
03_Video_Behavior,Detection of Autism Spectrum Disorders from EEG Signals using Multi-Input One-Dimensional Convolutional Neural Networks,2024,10.1109/siu61531.2024.10601094,http://dx.doi.org/10.1109/siu61531.2024.10601094,ASD; behavior; clinical-validation; decision-support; include; language; machine-learning,Paper scout report
03_Video_Behavior,Candidate biomarkers in psychiatric disorders: state of the field,2023,10.1002/wps.21078,https://doi.org/10.1002/wps.21078,ASD; behavior; clinical-validation; decision-support; include; machine-learning,Paper scout report
03_Video_Behavior,Detection of autism spectrum disorder (ASD) in children and adults using machine learning,2023,10.1038/s41598-023-35910-1,https://doi.org/10.1038/s41598-023-35910-1,ASD; behavior; decision-support; include; language; machine-learning,Paper scout report
07_Review_Papers,Automatic autism spectrum disorder detection using artificial intelligence methods with MRI neuroimaging: A review,2022,10.3389/fnmol.2022.999605,https://doi.org/10.3389/fnmol.2022.999605,ASD; behavior; decision-support; include; language; machine-learning,Paper scout report
05_Multimodal_AI,Beyond the three-chamber test: toward a multimodal and objective assessment of social behavior in rodents,2022,10.1186/s13229-022-00521-6,https://doi.org/10.1186/s13229-022-00521-6,ASD; behavior; decision-support; include; machine-learning; multimodal,Paper scout report
07_Review_Papers,Annual Research Review: Achieving universal health coverage for young children with autism spectrum disorder in low‐ and middle‐income countries: a review of reviews,2021,10.1111/jcpp.13404,https://doi.org/10.1111/jcpp.13404,ASD; behavior; decision-support; include; language; machine-learning,Paper scout report
03_Video_Behavior,Neuroimaging genetics approaches to identify new biomarkers for the early diagnosis of autism spectrum disorder,2023,10.1038/s41380-023-02060-9,https://doi.org/10.1038/s41380-023-02060-9,ASD; behavior; decision-support; include; language; machine-learning,Paper scout report
03_Video_Behavior,Predictive approach for Autism Detection using Computer Vision and Deep Learning,2024,10.1109/mitadtsocicon60330.2024.10575142,https://doi.org/10.1109/mitadtsocicon60330.2024.10575142,ASD; behavior; decision-support; include; language; machine-learning,Paper scout report
03_Video_Behavior,Utilizing deep learning models in an intelligent eye-tracking system for autism spectrum disorder diagnosis,2024,10.3389/fmed.2024.1436646,https://doi.org/10.3389/fmed.2024.1436646,ASD; decision-support; ethics; include; machine-learning; video,Paper scout report
01_Speech_Audio,Machine Learning-Based Early Prediction Model for Autism Spectrum Disorder in Infants Using Acoustic Feature,2026,10.1002/aur.70179,https://pubmed.ncbi.nlm.nih.gov/41502369/,ASD; PubMed; acoustic; audio; decision-support; machine-learning; priority; screening; speech,Manual PubMed/Google Scholar/IEEE shortlist
01_Speech_Audio,Vocal markers of autism: Assessing the generalizability of machine learning models,2022,10.1002/aur.2721,https://pubmed.ncbi.nlm.nih.gov/35385224/,ASD; PubMed; audio; decision-support; generalizability; machine-learning; priority; speech; vocal-markers,Manual PubMed/Google Scholar/IEEE shortlist
07_Review_Papers,Can Natural Speech Prosody Distinguish Autism Spectrum Disorders? A Meta-Analysis,2024,10.3390/bs14020090,https://pubmed.ncbi.nlm.nih.gov/38392443/,ASD; PubMed; audio; decision-support; machine-learning; meta-analysis; priority; prosody; review; speech,Manual PubMed/Google Scholar/IEEE shortlist
05_Multimodal_AI,Multimodal AI for risk stratification in autism spectrum disorder: integrating voice and screening tools,2025,10.1038/s41746-025-01914-6,https://pmc.ncbi.nlm.nih.gov/articles/PMC12370947/,ASD; PubMed; audio; clinical-validation; decision-support; machine-learning; multimodal; priority; questionnaire; speech,Manual PubMed/Google Scholar/IEEE shortlist
01_Speech_Audio,Automatic Identification of High-Risk Autism Spectrum Disorder: A Feasibility Study Using Video and Audio Data Under the Still-Face Paradigm,2020,10.1109/TNSRE.2020.3027756,https://pubmed.ncbi.nlm.nih.gov/32991285/,ASD; IEEE; PubMed; audio; behavior; decision-support; machine-learning; priority; screening; video,Manual PubMed/Google Scholar/IEEE shortlist
07_Review_Papers,Early diagnostic value of home video-based machine learning in autism spectrum disorder: a meta-analysis,2024,,https://pubmed.ncbi.nlm.nih.gov/39567383/,ASD; PubMed; behavior; decision-support; home-video; machine-learning; meta-analysis; priority; review; video,Manual PubMed/Google Scholar/IEEE shortlist
03_Video_Behavior,Computational Methods to Measure Patterns of Gaze in Toddlers With Autism Spectrum Disorder,2021,,https://pubmed.ncbi.nlm.nih.gov/33900383/,ASD; PubMed; behavior; clinical-validation; decision-support; gaze; machine-learning; priority; screening; video,Manual PubMed/Google Scholar/IEEE shortlist
03_Video_Behavior,Deep learning based approach for Behavior classification in diagnoses of Autism Spectrum Disorder using naturalistic videos,2026,10.3389/fncom.2026.1626315,https://pubmed.ncbi.nlm.nih.gov/41929585/,ASD; PubMed; behavior; decision-support; deep-learning; machine-learning; priority; screening; video,Manual PubMed/Google Scholar/IEEE shortlist
06_Clinical_Ethics_Privacy,Transparent deep learning to identify autism spectrum disorders (ASD) in EHR using clinical notes,2024,,https://pubmed.ncbi.nlm.nih.gov/38626184/,ASD; PubMed; clinical-notes; decision-support; deep-learning; ethics; explainability; language; machine-learning; nlp,Manual PubMed/Google Scholar/IEEE shortlist
03_Video_Behavior,Validation of a Mobile App for Remote Autism Screening in Toddlers,2024,,https://pubmed.ncbi.nlm.nih.gov/40438470/,ASD; PubMed; clinical-validation; decision-support; machine-learning; mobile-app; questionnaire; screening; video,Manual PubMed/Google Scholar/IEEE shortlist
07_Review_Papers,Sensing technologies and machine learning methods for emotion recognition in autism: Systematic review,2024,10.1016/j.ijmedinf.2024.105469,https://pubmed.ncbi.nlm.nih.gov/38723429/,ASD; PubMed; behavior; decision-support; ethics; machine-learning; review; sensing; video,Manual PubMed/Google Scholar/IEEE shortlist
06_Clinical_Ethics_Privacy,Machine Learning Prediction of Autism Spectrum Disorder From a Minimal Set of Medical and Background Information,2024,,https://pubmed.ncbi.nlm.nih.gov/39158907/,ASD; PubMed; clinical-validation; decision-support; machine-learning; screening,Manual PubMed/Google Scholar/IEEE shortlist
07_Review_Papers,Artificial Intelligence and the Future of Communication Sciences and Disorders: A Bibliometric and Visualization Analysis,2024,10.1044/2024_JSLHR-24-00157,https://pubmed.ncbi.nlm.nih.gov/39418583/,ASD; PubMed; bibliometric; communication-sciences; decision-support; language; machine-learning; priority; review; speech,Manual PubMed/Google Scholar/IEEE shortlist
01_Speech_Audio,Screening autism spectrum disorder in children using machine learning on speech transcripts,2025,10.1038/s41598-025-01500-6,https://pmc.ncbi.nlm.nih.gov/articles/PMC12489003/,ASD; Google-Scholar-style; decision-support; language; machine-learning; priority; screening; speech; transcript,Manual PubMed/Google Scholar/IEEE shortlist
01_Speech_Audio,The Noor Project: fair transformer transfer learning for autism spectrum disorder recognition from speech,2025,,https://pmc.ncbi.nlm.nih.gov/articles/PMC12399525/,ASD; Google-Scholar-style; audio; decision-support; fairness; machine-learning; priority; speech; transformer,Manual PubMed/Google Scholar/IEEE shortlist
01_Speech_Audio,Automated detection of adult autism from vowel acoustics using machine learning,2026,10.64898/2026.04.03.26350102,https://www.medrxiv.org/content/10.64898/2026.04.03.26350102v1,ASD; Google-Scholar-style; acoustic; audio; decision-support; explainability; machine-learning; preprint; speech,Manual PubMed/Google Scholar/IEEE shortlist
01_Speech_Audio,Detecting Autism Spectrum Disorder from Raw Speech in Children using STFT Layered CNN Model,2024,,https://ieeexplore.ieee.org/document/10474705,ASD; CNN; IEEE; audio; decision-support; deep-learning; machine-learning; priority; speech,Manual PubMed/Google Scholar/IEEE shortlist
01_Speech_Audio,Acoustic Features Characterization of Autism Speech for Automated Detection and Classification,2020,10.1109/NCC48643.2020.9056025,https://dblp.uni-trier.de/rec/html/conf/ncc/MohantaMM20,ASD; IEEE; acoustic; audio; decision-support; machine-learning; priority; speech,Manual PubMed/Google Scholar/IEEE shortlist
01_Speech_Audio,Machine Learning Based Automated Speech Dialog Analysis Of Autistic Children,2019,10.1109/KSE.2019.8919266,https://pure.ulster.ac.uk/en/publications/machine-learning-based-automated-speech-dialog-analysis-of-autist/,ASD; IEEE; Scopus; audio; background; decision-support; dialogue; machine-learning; speech,Manual PubMed/Google Scholar/IEEE shortlist
03_Video_Behavior,Machine Learning Predictive Models for Autism Spectrum Disorder Using Eye-Tracking Technology,2025,,https://ieeexplore.ieee.org/document/10922037,ASD; IEEE; behavior; decision-support; eye-tracking; machine-learning; video,Manual PubMed/Google Scholar/IEEE shortlist
09_Thai_Local_Context,Development and psychometric evaluation of a Thai Diagnostic Autism Scale for the early diagnosis of Autism Spectrum Disorder,2022,10.1002/aur.2631,https://pmc.ncbi.nlm.nih.gov/articles/PMC9297913/,ASD; TDAS; Thai-local-context; Thailand; clinical-validation; decision-support; diagnostic-tool; machine-learning; priority; questionnaire; screening,Manual PubMed/Google Scholar/IEEE shortlist
09_Thai_Local_Context,Economic Evaluation of the Thai Diagnostic Autism Scale for Autism Spectrum Disorder Diagnosis in Children Aged 1-5 Years Old,2024,10.3390/healthcare12070782,https://pmc.ncbi.nlm.nih.gov/articles/PMC11012028/,ASD; TDAS; Thai-local-context; Thailand; clinical-validation; decision-support; diagnostic-tool; economic-evaluation; machine-learning; priority; questionnaire; screening,Manual PubMed/Google Scholar/IEEE shortlist
09_Thai_Local_Context,Two-Step Screening of the Modified Checklist for Autism in Toddlers in Thai Children with Language Delay and Typically Developing Children,2016,10.1007/s10803-016-2876-4,https://pubmed.ncbi.nlm.nih.gov/27460003/,ASD; M-CHAT; Thai-local-context; Thailand; background; clinical-validation; decision-support; language-delay; machine-learning; priority; questionnaire; screening,Manual PubMed/Google Scholar/IEEE shortlist
09_Thai_Local_Context,Robust Autism Spectrum Disorder Screening Based on Facial Images (For Disability Diagnosis): A Domain-Adaptive Deep Ensemble Approach,2025,10.3390/diagnostics15131601,https://pubmed.ncbi.nlm.nih.gov/40647600/,ASD; Thai-affiliation; Thai-local-context; behavior; clinical-validation; decision-support; deep-learning; facial-image; machine-learning; video,Manual PubMed/Google Scholar/IEEE shortlist
09_Thai_Local_Context,Detection of Electroencephalographic Abnormalities and Its Associated Factors among Children with Autism Spectrum Disorder in Thailand,2022,10.3390/healthcare10101969,https://pmc.ncbi.nlm.nih.gov/articles/PMC9601834/,ASD; EEG; Thai-ATEC; Thai-local-context; Thailand; background; clinical-validation; decision-support; machine-learning,Manual PubMed/Google Scholar/IEEE shortlist
09_Thai_Local_Context,The effects of positive emotional gesture guidance on speech sound discrimination in Thai children with ASD: A mismatch negativity study,2022,,https://sjst.psu.ac.th/journal/44-2/28.pdf,ASD; EEG; Thai-local-context; Thailand; audio; background; decision-support; language; machine-learning; mismatch-negativity; priority; speech,Manual PubMed/Google Scholar/IEEE shortlist
09_Thai_Local_Context,Speech and Language in Children with Autism Spectrum Disorders,2023,,https://he02.tci-thaijo.org/index.php/simedbull/article/view/256480,ASD; Thai-local-context; Thailand; background; clinical-background; decision-support; language; machine-learning; speech,Manual PubMed/Google Scholar/IEEE shortlist
09_Thai_Local_Context,"Translation and validation of the developmental, dimensional and diagnostic interview (3Di) for diagnosis of autism spectrum disorder in Thai children",2011,,https://murex.mahidol.ac.th/en/publications/translation-and-validation-of-the-developmental-dimensional-and-d/,3Di; ASD; Thai-local-context; Thailand; background; clinical-validation; decision-support; diagnostic-interview; machine-learning; questionnaire; screening,Manual PubMed/Google Scholar/IEEE shortlist
