keeper_key,author_year,title,year,publication,doi,role,quality,topic,evidence_to_use,main_limitation,why_included
WHU47UFD,Georgiou & Paphiti (2026),Automated detection of adult autism from vowel acoustics using machine learning,2026,medRxiv,10.64898/2026.04.03.26350102,future,Weak,Adult vowel acoustics preprint,medRxiv preprint; 18 autistic adults + 18 neurotypical adults; best model discriminability about 89%.,"Not peer reviewed, adult controlled-vowel task, very small sample, not child screening.","Use only as future/acoustic plausibility, not as core child-ASD evidence."
G8VSSXXB,Themistocleous et al. (2024),Autism Detection in Children: Integrating Machine Learning and Natural Language Processing in Narrative Analysis,2024,Behavioral Sciences,10.3390/bs14060459,core,Moderate,NLP narrative analysis in children,Narrative-transcript ML/NLP study; reported high performance around 96% in the prior matrix; sample described as 68 ASD and 52 TD.,Language-specific narrative transcripts and no clear cross-site external validation.,Directly supports transcript/NLP branch and transcription bottleneck.
RBSTR768,Assaf et al. (2025),Screening autism spectrum disorder in children using machine learning on speech transcripts,2025,Scientific Reports,10.1038/s41598-025-01500-6,core,Moderate,ML on children speech transcripts,Scientific Reports paper using TalkBank transcript features; reports accuracy above 86% across datasets and strong logistic-regression/TabNet results.,Uses curated transcripts; age/dataset differences and TalkBank generalizability remain concerns.,One of the closest matches to asd-project speech-transcript workflow.
QJR8K5QS,Al Futaisi et al. (2025),The Noor Project: fair transformer transfer learning for autism spectrum disorder recognition from speech,2025,,,core,Moderate,Noor Project fairness in ASD speech recognition,Frontiers in Digital Health paper on transformer transfer learning and fairness testing; reports strong mixed-gender performance but female sensitivity can drop sharply.,Fairness/performance varies by subgroup; transfer-learning setup depends on available corpora.,Essential support for bias/fairness gap in speech AI.
27IITKNS,Eni et al. (2025),Reliably quantifying the severity of social symptoms in children with autism using ASDSpeech,2025,Translational Psychiatry,10.1038/s41398-025-03233-6,core,Strong,ASDSpeech severity quantification,"ASDSpeech uses 99,193 vocalizations from 197 ASD children across ADOS-2 assessments; independent testing on 61 children; correlations with ADOS-2 severity reported.","ADOS-2 assessment context, not free home conversation; ASD-only severity estimation rather than ASD-vs-TD screening.",Strong rationale for graded severity scoring rather than binary-only output.
2BW3LG5M,Bae et al. (2025),Multimodal AI for risk stratification in autism spectrum disorder: integrating voice and screening tools,2025,NPJ Digital Medicine,10.1038/s41746-025-01914-6,core,Strong,Multimodal voice + screening-tool risk stratification,"NPJ Digital Medicine; 1242 children aged 18-48 months. Stage 1 AUROC 0.942, accuracy 0.86; Stage 2 AUROC 0.914, accuracy 0.852; agreement with ADOS-2 risk categories 79.59%.",Multimodal mobile/screening workflow; requires careful calibration and external validation despite strong scale.,Best recent benchmark for combining voice with screening tools.
2M5MN383,Megerian et al. (2022),Evaluation of an artificial intelligence-based medical device for diagnosis of autism spectrum disorder,2022,NPJ Digital Medicine,10.1038/s41746-022-00598-6,core,Strong,AI-based medical device with indeterminate output,"Double-blind, multisite prospective comparator cohort; 425 study completers; determinate-output sensitivity 98.4%, specificity 78.9%; 31.8% received determinate output.","Device abstains for many complex cases; output is diagnosis-support, not autonomous diagnosis.",Key safety precedent for indeterminate/uncertainty gating.
K94FXAC9,Mohammadi et al. (2025),"Artificial Intelligence in Autism Spectrum Disorder Diagnosis: A Scoping Review of Face, Voice, and Text Analysis Methods",2025,Health Science Reports,10.1002/hsr2.71476,background_review,Moderate,"Scoping review of face, voice, and text AI for ASD","Maps AI approaches across face, voice, and text analysis methods.",Scoping review; broad modality mix and depends on quality of included studies.,Good overview for multimodal landscape and modality limitations.
GGSJNPIS,Rakotomanana & Rouhafzay (2025),A Scoping Review of AI-Based Approaches for Detecting Autism Traits Using Voice and Behavioral Data,2025,Bioengineering,10.3390/bioengineering12111136,background_review,Moderate,Scoping review of voice and behavioral AI,Maps voice/behavioral computational phenotyping and discusses dataset/bias issues.,Review-level evidence; not a direct validation of a model.,Supports dataset diversity and bias gap.
TXMX9XGX,Patel et al. (2025),AI-Enabled Technologies and Biomarker Analysis for the Early Identification of Autism and Related Neurodevelopmental Disorders,2025,Children,10.3390/children12121670,background_review,Moderate,AI-enabled technologies and biomarkers for early ASD identification,Broad review of AI/biomarkers across modalities.,Too broad for speech/NLP claims; use as background only.,Frames broader biomarker context without over-weighting.
S4U9D4MJ,Zhang (2025),"AI-assisted early screening, diagnosis, and intervention for autism in young children",2025,Frontiers in Psychiatry,10.3389/fpsyt.2025.1513809,background_review,Moderate,"AI-assisted early screening, diagnosis, and intervention in young children","Review of AI-assisted early screening/diagnosis/intervention methods for infants, toddlers, and preschoolers; useful for broad framing.",Broad review and not speech/NLP-specific enough to be a core project evidence source.,Provides current early-childhood AI screening overview while core claims rely on more specific speech/transcript papers.
