Title,Takeaway,Authors,Year,Citations,Abstract,Study Type,Journal,Journal SJR Quartile,DOI,Consensus Link
"An evaluation of machine learning approaches for early diagnosis of autism spectrum disorder","Machine learning models can effectively detect autism spectrum disorder, with spectral clustering outperforming other benchmarking models in terms of NMI and ARI metrics.","Rownak Ara Rasul, Promy Saha, Diponkor Bala, S. M. R. U. Karim, Md. Ibrahim Abdullah, Bishwajit Saha",2023,70,"","","Healthcare Analytics","2","10.1016/j.health.2023.100293","https://consensus.app/papers/an-evaluation-of-machine-learning-approaches-for-early-rasul-saha/20284b582f1853ae9530c9438ed01a1d/"
"Detection of Autism Spectrum Disorder in Children Using Machine Learning Techniques","Machine learning techniques, particularly Logistic Regression, can improve the accuracy and speed of detecting Autism Spectrum Disorder in children, enhancing early diagnosis and treatment.","Kaushik Vakadkar, Diya Purkayastha, Deepa Krishnan",2021,155,"Autism Spectrum Disorder (ASD) is a neurological disorder which might have a lifelong impact on the language learning, speech, cognitive, and social skills of an individual. Its symptoms usually show up in the developmental stages, i.e., within the first two years after birth, and it impacts around 1% of the population globally [https://www.autism-society.org/whatis/facts-and-statistics/. Accessed 25 Dec 2019]. ASD is mainly caused by genetics or by environmental factors; however, its conditions can be improved by detecting and treating it at earlier stages. In the current times, clinical standardized tests are the only methods which are being used, to diagnose ASD. This not only requires prolonged diagnostic time but also faces a steep increase in medical costs. To improve the precision and time required for diagnosis, machine learning techniques are being used to complement the conventional methods. We have applied models such as Support Vector Machines (SVM), Random Forest Classifier (RFC), Naïve Bayes (NB), Logistic Regression (LR), and KNN to our dataset and constructed predictive models based on the outcome. The main objective of our paper is to thus determine if the child is susceptible to ASD in its nascent stages, which would help streamline the diagnosis process. Based on our results, Logistic Regression gives the highest accuracy for our selected dataset.","","Sn Computer Science","2","10.1007/s42979-021-00776-5","https://consensus.app/papers/detection-of-autism-spectrum-disorder-in-children-using-vakadkar-purkayastha/0c4f0e999d035a7f94d15cfec173dacf/"
"Enhancing ASD detection accuracy: a combined approach of machine learning and deep learning models with natural language processing","AI, particularly deep learning models, can enhance the accuracy of diagnosing autism spectrum disorder by analyzing text inputs from social media platforms like Twitter.","Sergio Rubio-Martín, María Teresa García-Ordás, Martín Bayón-Gutiérrez, Natalia Prieto-Fernández, J. Benítez-Andrades",2024,33,"The main aim of our study was to explore the utility of artificial intelligence (AI) in diagnosing autism spectrum disorder (ASD). The study primarily focused on using machine learning (ML) and deep learning (DL) models to detect ASD potential cases by analyzing text inputs, especially from social media platforms like Twitter. This is to overcome the ongoing challenges in ASD diagnosis, such as the requirement for specialized professionals and extensive resources. Timely identification, particularly in children, is essential to provide immediate intervention and support, thereby improving the quality of life for affected individuals. We employed natural language processing (NLP) techniques along with ML models like decision trees, extreme gradient boosting (XGB), k-nearest neighbors algorithm (KNN), and DL models such as recurrent neural networks (RNN), long short-term memory (LSTM), bidirectional long short-term memory (Bi-LSTM), bidirectional encoder representations from transformers (BERT and BERTweet). We extracted a dataset of 404,627 tweets from Twitter users using the platform's API and classified them based on whether they were written by individuals claiming to have ASD (ASD users) or by those without ASD (non-ASD users). From this dataset, we used a subset of 90,000 tweets (45,000 from each classification group) for the training and testing of these models. The application of our AI models yielded promising results, with the predictive model reaching an accuracy of almost 88% when classifying texts that potentially originated from individuals with ASD. Our research demonstrated the potential of using AI, particularly DL models, in enhancing the accuracy of ASD detection and diagnosis. This innovative approach signifies the critical role AI can play in advancing early diagnostic techniques, enabling better patient outcomes and underlining the importance of early identification of ASD, especially in children.","","Health Information Science and Systems","","10.1007/s13755-024-00281-y","https://consensus.app/papers/enhancing-asd-detection-accuracy-a-combined-approach-of-rubio-mart%C3%ADn-garc%C3%ADa-ord%C3%A1s/ac929452055c500a874d87fe37f45e00/"
"Artificial intelligence-based approaches for improving the diagnosis, triage, and prioritization of autism spectrum disorder: a systematic review of current trends and open issues","AI applications show promise in improving early diagnosis and triage for Autism Spectrum Disorder, but more research is needed to address research gaps and enhance patient care.","Shahad Sabbar Joudar, A. Albahri, Rula A. Hamid, Idrees A. Zahid, M. E. Alqaysi, O. Albahri, A. Alamoodi",2023,42,"The artificial intelligence (AI) trend to embrace Autism Spectrum Disorder (ASD) has dramatically transformed the landscape of medical diagnosis. People often exhibit fear and apprehension towards conditions they lack understanding of, and ASD being a complex affliction, poses challenges in comprehending its intricacies. Researchers have harnessed AI applications to improve the precision of disease diagnosis by utilizing Magnetic Resonance Imaging (MRI), Electroencephalography (EEG), genetic, sociodemographic, and medical data. However, the development of AI systems for early diagnosis and triage in healthcare is still in its nascent stages. In particular, studies have revealed a global increase in the prevalence of ASD, with an estimated 1 in 59 children being diagnosed. However, there is a lack of up-to-date information regarding the current status of ASD. This study aims to provide a systematic review of AI applications in early diagnosis and triage for ASD, supplementing the findings of previous studies and offering a comprehensive overview of the evidence. To achieve this, a rigorous literature search method and selection criteria were employed, resulting in the identification of 46 recent contributions on the applications of AI in ASD from various databases, including ScienceDirect (SD), IEEE Xplore digital library (IEEE), Web of Science (WOS), PubMed, and Scopus. The selected papers were categorized into three main categories: ASD triage levels, clinical diagnosis for ASD, and diagnosis based on telemedicine, with further subcategories under the clinical diagnosis category. Theoretical and practical aspects of AI methods used for ASD diagnosis, as well as the presentation utilizing data analytics, were presented. The paper presents a systematic and comprehensive analysis of previous studies, examining the challenges, motivations, and recommendations, thereby paving the way for potential future research. Additionally, the work provides decisive evidence for the use of AI in ASD healthcare diagnosis and triage, offering nine critical analyses of the current state-of-the-art and addressing relevant research gaps. To the best of our knowledge, this study is innovative in exploring the feasibility of using AI in ASD medical diagnosis and triage. It highlights essential pieces of information, including Explainable AI (XAI), Auto machine learning (AutoML), Internet of Things (IoT)-based AI, robot-assisted therapy-based AI, telemedicine, data fusion techniques, and available ASD datasets with different aspects. The analysis of the revised contributions reveals crucial implications for academics and practitioners. The paper also proposes potential methodological aspects to enhance the triage and prioritization of autistic patients using AI applications in the medical sector, as well as addressing theoretical and practical application aspects and five methodology phases using fuzzy Multi-Criteria Decision Making (MCDM) methods in ASD triage and prioritization.","systematic review","Artificial Intelligence Review","1","10.1007/s10462-023-10536-x","https://consensus.app/papers/artificial-intelligencebased-approaches-for-improving-joudar-albahri/cc7aaff5aa2f51a39643be9d3e2a6352/"
"The Role of Artificial Intelligence for Early Diagnostic Tools of Autism Spectrum Disorder: A Systematic Review","AI-driven approaches show promise in improving diagnostic accuracy, efficiency, and early detection of Autism Spectrum Disorder in pediatric populations aged 0-18 years.","P. Solek, Eka Nurfitri, Indra Sahril, Taufan Prasetya, A. F. Rizqiamuti, Burhan Burhan, Irma Rachmawati, U. Gamayani, Kusnandi Rusmil, L. Chandra, I. Afriandi, Kevin Gunawan",2025,6,"Objective: Autism Spectrum Disorder (ASD) is a complex neurodevelopmental condition characterized by challenges in social communication and repetitive behaviors. This systematic review examines the application of artificial intelligence (AI) in diagnosing ASD, focusing on pediatric populations aged 0-18 years. Materials and methods: A systematic review was conducted following Preferred Reporting Items for Systematic Reviews and Meta-Analyses 2020 guidelines. Inclusion criteria encompassed studies applying AI techniques for ASD diagnosis, primarily evaluated using metriclike accuracy. Non-English articles and studies not focusing on diagnostic applications were excluded. The literature search covered PubMed, ScienceDirect, CENTRAL, ProQuest, Web of Science, and Google Scholar up to November 9, 2024. Bias assessment was performed using the Joanna Briggs Institute checklist for critical appraisal. Results: The review included 25 studies. These studies explored AI-driven approaches that demonstrated high accuracy in classifying ASD using various data modalities, including visual (facial, home videos, eye-tracking), motor function, behavioral, microbiome, genetic, and neuroimaging data. Key findings highlight the efficacy of AI in analyzing complex datasets, identifying subtle ASD markers, and potentially enabling earlier intervention. The studies showed improved diagnostic accuracy, reduced assessment time, and enhanced predictive capabilities. Conclusion: The integration of AI technologies in ASD diagnosis presents a promising frontier for enhancing diagnostic accuracy, efficiency, and early detection. While these tools can increase accessibility to ASD screening in underserved areas, challenges related to data quality, privacy, ethics, and clinical integration remain. Future research should focus on applying diverse AI techniques to large populations for comparative analysis to develop more robust diagnostic models.","systematic review","Turkish Archives of Pediatrics","3","10.5152/turkarchpediatr.2025.24183","https://consensus.app/papers/the-role-of-artificial-intelligence-for-early-diagnostic-solek-nurfitri/ec5940220c0b5408a71034f5c05354da/"
"Reliable Autism Spectrum Disorder Diagnosis for Pediatrics Using Machine Learning and Explainable AI","Machine learning and explainable AI combined with a rigorous data-preprocessing pipeline improve the accuracy and interpretability of autism spectrum disorder diagnosis in pediatrics.","Insu Jeon, Minjoong Kim, Dayeong So, Eun Young Kim, Yunyoung Nam, Seungsoo Kim, Sehoon Shim, Joungmin Kim, Jihoon Moon",2024,17,"As the demand for early and accurate diagnosis of autism spectrum disorder (ASD) increases, the integration of machine learning (ML) and explainable artificial intelligence (XAI) is emerging as a critical advancement that promises to revolutionize intervention strategies by improving both accuracy and transparency.This paper presents a method that combines XAI techniques with a rigorous data-preprocessing pipeline to improve the accuracy and interpretability of ML-based diagnostic tools. Our preprocessing pipeline included outlier removal, missing data handling, and selecting pertinent features based on clinical expert advice. Usingand thepackage (version 6.0.94), we developed and compared several ML algorithms, validated using 10-fold cross-validation and optimized by grid search hyperparameter tuning. XAI techniques were employed to improve model transparency, offering insights into how features contribute to predictions, thereby enhancing clinician trust.Rigorous data-preprocessing improved the models' generalizability and real-world applicability across diverse clinical datasets, ensuring a robust performance. Neural networks and extreme gradient boosting models achieved the best performance in terms of accuracy, precision, and recall. XAI techniques demonstrated that behavioral features significantly influenced model predictions, leading to greater interpretability.This study successfully developed highly precise and interpretable ML models for ASD diagnosis, connecting advanced ML methods with practical clinical application and supporting the adoption of AI-driven diagnostic tools by healthcare professionals. This study's findings contribute to personalized intervention strategies and early diagnostic practices, ultimately improving outcomes and quality of life for individuals with ASD.","","Diagnostics","2","10.3390/diagnostics14222504","https://consensus.app/papers/reliable-autism-spectrum-disorder-diagnosis-for-jeon-kim/102295485ec55e69b88ce0d509b25ac9/"
"The Use of Artificial Intelligence in Screening and Diagnosis of Autism Spectrum Disorder: A Literature Review","AI algorithms show high accuracy, sensitivity, and specificity in classifying autism spectrum disorder (ASD) and non-ASD individuals, but real-world challenges need to be addressed before AI methods can fully integrate into healthcare systems.","Da-Yea Song, So Yoon Kim, Guiyoung Bong, Jong Myeong Kim, H. Yoo",2019,67,"The detection of autism spectrum disorder (ASD) is based on behavioral observations. To build a more objective datadriven method for screening and diagnosing ASD, many studies have attempted to incorporate artificial intelligence (AI) technologies. Therefore, the purpose of this literature review is to summarize the studies that used AI in the assessment process and examine whether other behavioral data could potentially be used to distinguish ASD characteristics. Based on our search and exclusion criteria, we reviewed 13 studies. To improve the accuracy of outcomes, AI algorithms have been used to identify items in assessment instruments that are most predictive of ASD. Creating a smaller subset and therefore reducing the lengthy evaluation process, studies have tested the efficiency of identifying individuals with ASD from those without. Other studies have examined the feasibility of using other behavioral observational features as potential supportive data. While previous studies have shown high accuracy, sensitivity, and specificity in classifying ASD and non-ASD individuals, there remain many challenges regarding feasibility in the real-world that need to be resolved before AI methods can be fully integrated into the healthcare system as clinical decision support systems.","systematic review","Journal of the Korean Academy of Child and Adolescent Psychiatry","3","10.5765/jkacap.190027","https://consensus.app/papers/the-use-of-artificial-intelligence-in-screening-and-song-kim/393a5c903a4453cba3b886df6ace772d/"
"Leveraging AI for the diagnosis and treatment of autism spectrum disorder: Current trends and future prospects.","AI-based diagnostics and interventions show promise in early detection, personalized assessment, and improved social interactions and communication skills for individuals with autism spectrum disorder.","N. Wankhede, Mayur B. Kale, Madhu Shukla, Deepak Nathiya, Roopashree R, Parjinder Kaur, Barkha Goyanka, Sandip R. Rahangdale, B. Taksande, Aman B. Upaganlawar, Mohammad Khalid, S. Chigurupati, M. Umekar, S. Kopalli, S. Koppula",2024,36,"","","Asian journal of psychiatry","1","10.1016/j.ajp.2024.104241","https://consensus.app/papers/leveraging-ai-for-the-diagnosis-and-treatment-of-autism-wankhede-kale/ea4ef15ce7a15aeea87cd8d9618d6641/"
"The use of Artificial Intelligence for Intervention and Assessment in Individuals with ASD","AI-based tools, such as educational robots and adaptive communication tools, can improve diagnosis and intervention for individuals with Autism Spectrum Disorder (ASD).","Aggeliki Sideraki, Christos-Nikolaos Anagnostopoulos",2025,1,"This paper explores the use of Artificial Intelligence (AI) as a tool for diagnosis, assessment, and intervention for individuals with Autism Spectrum Disorder (ASD). It focuses particularly on AI's role in early diagnosis, utilizing advanced machine learning techniques and data analysis. Recent studies demonstrate that deep learning algorithms can identify behavioral patterns through biometric data analysis, video-based interaction assessments, and linguistic feature extraction, providing a more accurate and timely diagnosis compared to traditional methods. Additionally, AI automates diagnostic tools, reducing subjective biases and enabling the development of personalized assessment protocols for ASD monitoring. At the same time, the paper examines AI-powered intervention technologies, emphasizing educational robots and adaptive communication tools. Social robotic assistants, such as NAO and Kaspar, have been shown to enhance social skills in children by offering structured, repetitive interactions that reinforce learning. Furthermore, AI-driven Augmentative and Alternative Communication (AAC) systems allow children with ASD to express themselves more effectively, while machine-learning chatbots provide language development support through personalized responses. The study presents research findings supporting the effectiveness of these AI applications while addressing challenges such as long-term evaluation and customization to individual needs. In conclusion, the paper highlights the significance of AI as an innovative tool in ASD diagnosis and intervention, advocating for further research to assess its long-term impact.","","ArXiv","","10.48550/arxiv.2505.02747","https://consensus.app/papers/the-use-of-artificial-intelligence-for-intervention-and-sideraki-anagnostopoulos/d76cd286671f5eb185555b42cb610535/"
"Role of Artificial Intelligence for Autism Diagnosis Using DTI and fMRI: A Survey","AI and machine learning techniques, particularly deep learning, can improve early, objective ASD diagnosis and detection using brain imaging modalities like DTI and fMRI.","E. Helmy, A. Elnakib, Y. Elnakieb, Mohamed Khudri, Mostafa Abdelrahim, Jawad Yousaf, M. Ghazal, S. Contractor, G. Barnes, A. El-Baz",2023,36,"Autism spectrum disorder (ASD) is a wide range of diseases characterized by difficulties with social skills, repetitive activities, speech, and nonverbal communication. The Centers for Disease Control (CDC) estimates that 1 in 44 American children currently suffer from ASD. The current gold standard for ASD diagnosis is based on behavior observational tests by clinicians, which suffer from being subjective and time-consuming and afford only late detection (a child must have a mental age of at least two to apply for an observation report). Alternatively, brain imaging-more specifically, magnetic resonance imaging (MRI)-has proven its ability to assist in fast, objective, and early ASD diagnosis and detection. With the recent advances in artificial intelligence (AI) and machine learning (ML) techniques, sufficient tools have been developed for both automated ASD diagnosis and early detection. More recently, the development of deep learning (DL), a young subfield of AI based on artificial neural networks (ANNs), has successfully enabled the processing of brain MRI data with improved ASD diagnostic abilities. This survey focuses on the role of AI in autism diagnostics and detection based on two basic MRI modalities: diffusion tensor imaging (DTI) and functional MRI (fMRI). In addition, the survey outlines the basic findings of DTI and fMRI in autism. Furthermore, recent techniques for ASD detection using DTI and fMRI are summarized and discussed. Finally, emerging tendencies are described. The results of this study show how useful AI is for early, subjective ASD detection and diagnosis. More AI solutions that have the potential to be used in healthcare settings will be introduced in the future.","","Biomedicines","1","10.3390/biomedicines11071858","https://consensus.app/papers/role-of-artificial-intelligence-for-autism-diagnosis-helmy-elnakib/b94052456c1c54918cafff6f482dc174/"
